"country","DISP_AREA","UN_status_detail","UNmemberstate","UN_status","territoryof","ISO"
"Portugal","NO","Member State",1,5,"Member State","PRT"
"Puerto Rico","NO","US Territory",0,5,"US Territory","PRI"
"Qatar","NO","Member State",1,5,"Member State","QAT"
"Republic of Korea","NO","Member State",1,5,"Member State","KOR"
"Republic of Moldova","NO","Member State",1,5,"Member State","MDA"
"Reunion","NO","FR Territory",0,5,"FR Territory","REU"
"Romania","NO","Member State",1,5,"Member State","ROU"
"Russian Federation","NO","Member State",1,5,"Member State","RUS"
"Rwanda","NO","Member State",1,5,"Member State","RWA"
"Saint Helena","NO","UK Non-Self-Governing Territory",0,4,NA,"SHN"
"Saint Kitts and Nevis","NO","Member State",1,5,"Member State","KNA"
"Saint Lucia","NO","Member State",1,5,"Member State","LCA"
"Saint Pierre et Miquelon","NO","FR Territory",0,5,"FR Territory","SPM"
"Saint Vincent and the Grenadines","NO","Member State",1,5,"Member State","VCT"
"Samoa","NO","Member State",1,5,"Member State","WSM"
"San Marino","NO","Member State",1,5,"Member State","SMR"
"Sao Tome and Principe","NO","Member State",1,5,"Member State","STP"
"Saudi Arabia","NO","Member State",1,5,"Member State","SAU"
"Scarborough Reef","YES","Sovereignty unsettled",0,2,NA,NA
"Senegal","NO","Member State",1,5,"Member State","SEN"
"Senkaku Islands","YES","Sovereignty unsettled",0,2,NA,NA
"Serbia","NO","Member State",1,1,NA,"SRB"
"Seychelles","NO","Member State",1,5,"Member State","SYC"
"Sierra Leone","NO","Member State",1,5,"Member State","SLE"
"Singapore","NO","Member State",1,5,"Member State","SGP"
"Slovakia","NO","Member State",1,5,"Member State","SVK"
"Slovenia","NO","Member State",1,5,"Member State","SVN"
"Solomon Islands","NO","Member State",1,5,"Member State","SLB"
"Somalia","NO","Member State",1,5,"Member State","SOM"
"South Africa","NO","Member State",1,5,"Member State","ZAF"
"South Georgia and the South Sandwich Islands","NO","UK Territory",0,3,NA,"SGS"
"South Sudan","NO","Member State",1,1,NA,"SSD"
"Spain","NO","Member State",1,5,"Member State","ESP"
"Spratly Islands","YES","Sovereignty unsettled",0,2,NA,NA
"Sri Lanka","NO","Member State",1,5,"Member State","LKA"
"Sudan","NO","Member State",1,5,"Member State","SDN"
"Suriname","NO","Member State",1,5,"Member State","SUR"
"Svalbard and Jan Mayen Islands","NO","NO Territory",0,5,"NO Territory","SJM"
"Sweden","NO","Member State",1,5,"Member State","SWE"
"Switzerland","NO","Member State",1,5,"Member State","CHE"
"Syrian Arab Republic","NO","Member State",1,5,"Member State","SYR"
"Taiwan","NO","CN Province",0,5,"CN Province","TWN"
"Tajikistan","NO","Member State",1,5,"Member State","TJK"
"Thailand","NO","Member State",1,5,"Member State","THA"
"Timor-Leste","NO","Member State",1,5,"Member State","TLS"
"Togo","NO","Member State",1,5,"Member State","TGO"
"Tokelau","NO","NZ Non-Self-Governing Territory",0,5,"NZ Non-Self-Governing Territory","TKL"
"Tonga","NO","Member State",1,5,"Member State","TON"
"Trinidad and Tobago","NO","Member State",1,5,"Member State","TTO"
"Tromelin Island","NO","FR Territory",0,5,"FR Territory",NA
"Tunisia","NO","Member State",1,5,"Member State","TUN"
"Turkmenistan","NO","Member State",1,5,"Member State","TKM"
"Turks and Caicos Islands","NO","UK Non-Self-Governing Territory",0,4,NA,NA
"Tuvalu","NO","Member State",1,5,"Member State","TUV"
"Türkiye","NO","Member State",1,5,"Member State","TUR"
"Uganda","NO","Member State",1,5,"Member State","UGA"
"Ukraine","NO","Member State",1,5,"Member State","UKR"
"United Arab Emirates","NO","Member State",1,5,"Member State","ARE"
"United Kingdom of Great Britain and Northern Ireland","NO","Member State",1,5,"Member State","GBR"
"United Republic of Tanzania","NO","Member State",1,5,"Member State","TZA"
"United States Virgin Islands","NO","US Non-Self-Governing Territory",0,5,"US Non-Self-Governing Territory","VIR"
"United States of America","NO","Member State",1,5,"Member State","USA"
"Uruguay","NO","Member State",1,5,"Member State","URY"
"Uzbekistan","NO","Member State",1,5,"Member State","UZB"
"Vanuatu","NO","Member State",1,5,"Member State","VUT"
"Venezuela, Bolivarian Republic of","NO","Member State",1,5,"Member State","VEN"
"Viet Nam","NO","Member State",1,5,"Member State","VNM"
"Wake Island","NO","US Territory",0,5,"US Territory",NA
"Wallis and Futuna","NO","FR Territory",0,5,"FR Territory","WLF"
"West Bank","NO","Occupied Palestinian Territory",0,5,"Occupied Palestinian Territory",NA
"Western Sahara","NO","Non-Self-Governing Territory",0,5,"Non-Self-Governing Territory","ESH"
"Yemen","NO","Member State",1,5,"Member State","YEM"
"Zambia","NO","Member State",1,5,"Member State","ZMB"
"Zimbabwe","NO","Member State",1,5,"Member State","ZWE"
